false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,Logitech G9x,115.0,82.0,38.0,153.0,Ergonomic,Back - minimal,Inward - slight,Flat,Right,Yes,No,Plastic,Wired,-,-,-,1000,5700,-,-,2,0
false,4,PHYLINA S450 4K,119.0,61.0,41.0,53.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,1
false,4,PHYLINA S450,119.0,61.0,41.0,53.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,1000,650,50,2,1
false,3,Ninjutso Sora 4K,120.8,64.5,37.3,47.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,4000,650,50,2,0
false,,Atompalm Hydrogen 2,123.8,64.5,39.5,48.0,Symmetrical,Back - moderate,Outward - aggressive,Flat,Right,No,No,Plastic,Wired,PixArt PMW3360,Optical,Centered (50%),12000,8000,250,50,2,1
false,3,Razer Naga X,119.0,72.0,43.0,85.0,Ergonomic,Center,Outward - slight,Flat,Right,No,Yes,Plastic,Wired,Razer Razer 5G,Optical,Centered (48%),18000,1000,450,50,12,1
false,5,Darmoshark M3S,122.7,62.5,37.8,54.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,2000,650,50,2,0
false,5,Keychron M3 Mini 4K,119.9,65.3,38.9,55.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,1
false,4,Keychron M3 4K,125.2,68.2,40.6,79.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),25999,4000,650,50,2,1
false,5,Keychron M3,125.2,68.2,40.6,79.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,1000,650,50,2,1
false,4,Keychron M2,121.5,66.7,40.6,53.0,Ergonomic,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0
false,3,Keychron M1 Wireless,130.2,66.4,38.3,79.0,Symmetrical,Center,Outward - moderate,Inward,Ambidextrous,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (49%),26000,1000,650,50,2,0
false,2,Keychron M1 Wired,130.2,66.4,38.3,68.0,Symmetrical,Center,Outward - moderate,Inward,Ambidextrous,No,No,Plastic,Wired,PixArt PMW3389,Optical,Centered (49%),16000,1000,400,50,2,0
false,,ARYE FCC-1,116.3,60.0,33.9,46.0,Symmetrical,Back - aggressive,Inward - moderate,Inward,Right,No,No,Forged carbon fiber,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,4000,650,50,2,0
false,3,Razer Viper V3 HyperSpeed,127.1,63.9,39.9,82.0,Symmetrical,Back - minimal,Outward - slight,Inward,Right,No,No,Plastic,Wireless,Razer Focus Pro 30K,Optical,Front - aggressive (65%),30000,1000,750,70,2,1
false,5,WLmouse Beast X,122.0,62.0,37.0,39.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Centered (52%),26000,4000,650,50,2,0
